GAMETITLE,AUCTIONID,AUCTIONTITLE,PRICE,LOCATION,URL,STAT,ENDTIME,TS
Carrier Command,112767714289,CARRIER COMMAND AMIGA DISKETTE SPIEL #76,10,"Neuwied,Deutschland",http://www.ebay.de/itm/CARRIER-COMMAND-AMIGA-DISKETTE-SPIEL-76-/112767714289,Active,2019-01-16 11:56:28,2019-01-08 17:47:51
Altered Beast,112793334449,Power Up: X-Out/Altered Beast/Chase H.Q. Amiga CBM ocean,30,"Mutlangen,Deutschland",http://www.ebay.de/itm/Power-Up-X-Out-Altered-Beast-Chase-H-Q-Amiga-CBM-ocean-/112793334449,Active,2019-01-29 15:21:50,2019-01-08 17:47:03
Bonanza Bros,113143623977,"Amiga Spiel: original Bonanza Bros., gebraucht, 1 Diskette",15.9,"Köln,Deutschland",http://www.ebay.de/itm/Amiga-Spiel-original-Bonanza-Bros-gebraucht-1-Diskette-/113143623977,Active,2019-02-05 20:27:47,2019-01-08 17:47:39
Bully's Sporting Darts,113143638737,"Amiga Spiel: original Bully's Sporting Darts, gebraucht, 1 Diskette, RARITÄT!!!",12.9,"Köln,Deutschland",http://www.ebay.de/itm/Amiga-Spiel-original-Bullys-Sporting-Darts-gebraucht-1-Diskette-RARITAT-/113143638737,Active,2019-02-05 20:38:15,2019-01-08 17:47:46
Big Run,113157593665,Spiel Run The Handschuh Auf Commodore Amiga Big Box / Box,11.99,Frankreich,http://www.ebay.de/itm/Spiel-Run-The-Handschuh-Commodore-Amiga-Big-Box-Box-/113157593665,Active,2019-01-15 12:43:58,2019-01-08 17:47:30
Campaign,113203192881,"Campaign for Commodore Amiga, Empire Software, Big Box, 1992, VGC, CIB",11.99,Großbritannien,http://www.ebay.de/itm/Campaign-for-Commodore-Amiga-Empire-Software-Big-Box-1992-VGC-CIB-/113203192881,Active,2019-01-12 11:52:07,2019-01-08 17:47:47
BadLands,113439982317,Boxed Commodoe Amiga Game - Badlands,5.49,Großbritannien,http://www.ebay.de/itm/Boxed-Commodoe-Amiga-Game-Badlands-/113439982317,Active,2019-01-09 20:07:44,2019-01-08 17:47:18
Bubble Ghost,113449434124,BUBBLE GHOST - Amiga Game - Commodore - Cleaned & Tested,14.99,Großbritannien,http://www.ebay.de/itm/BUBBLE-GHOST-Amiga-Game-Commodore-Cleaned-Tested-/113449434124,Active,2019-01-12 21:02:41,2019-01-08 17:47:45
Carrier Command,113530172653,Commodore Amiga Carrier Command 1987 Realtime Games and Mirror Image,30,Kanada,http://www.ebay.de/itm/Commodore-Amiga-Carrier-Command-1987-Realtime-Games-and-Mirror-Image-/113530172653,Active,2019-02-05 23:18:04,2019-01-08 17:47:51
Amberstar,123540795171,"~ Boxed Amiga Collectible ~ Amberstar (Thalion, 1992)",112.99,"Xanten,Deutschland",http://www.ebay.de/itm/Boxed-Amiga-Collectible-Amberstar-Thalion-1992-/123540795171,Active,2019-01-11 14:49:19,2019-01-08 17:47:04
